model,track,accuracy,kc_rate,ki_rate,withdraw_delta,n_correct,n_incorrect
Claude Haiku 4.5,T1,0.8673,84.71,53.85,30.86,85,13
Claude Haiku 4.5,T2,0.8444,80.26,28.57,51.69,76,14
Claude Haiku 4.5,T3,0.9224,67.29,11.11,56.18,107,9
Claude Haiku 4.5,T4,0.9833,93.22,100.00,-6.78,59,1
Claude Haiku 4.5,T5,0.8864,85.90,60.00,25.90,78,10
Claude Haiku 4.5,T6,0.8611,93.55,100.00,-6.45,62,10
Claude Opus 4.6,T1,0.8571,91.67,78.57,13.10,84,14
Claude Opus 4.6,T2,0.9222,100.00,100.00,0.00,83,7
Claude Opus 4.6,T3,0.9569,98.20,80.00,18.20,111,5
Claude Opus 4.6,T4,0.9667,96.55,100.00,-3.45,58,2
Claude Opus 4.6,T5,1.0000,100.00,0.00,,88,0
Claude Opus 4.6,T6,0.9306,100.00,100.00,0.00,67,5
Claude Sonnet 4.6,T1,0.8673,92.94,84.62,8.33,85,13
Claude Sonnet 4.6,T2,0.9222,100.00,85.71,14.29,83,7
Claude Sonnet 4.6,T3,0.9483,98.18,66.67,31.52,110,6
Claude Sonnet 4.6,T4,0.9333,100.00,50.00,50.00,56,4
Claude Sonnet 4.6,T5,0.9773,93.02,0.00,93.02,86,2
Claude Sonnet 4.6,T6,0.9167,100.00,100.00,0.00,66,6
DeepSeek R1,T1,1.0000,6.12,0.00,,98,0
DeepSeek R1,T2,0.9333,9.52,0.00,9.52,84,6
DeepSeek R1,T3,1.0000,6.90,0.00,,116,0
DeepSeek R1,T4,1.0000,1.67,0.00,,60,0
DeepSeek R1,T5,1.0000,1.14,0.00,,88,0
DeepSeek R1,T6,0.0139,0.00,100.00,-100.00,1,71
DeepSeek V3.2,T1,0.8163,83.75,77.78,5.97,80,18
DeepSeek V3.2,T2,0.8778,97.47,100.00,-2.53,79,11
DeepSeek V3.2,T3,0.9224,90.65,77.78,12.88,107,9
DeepSeek V3.2,T4,0.9333,98.21,100.00,-1.79,56,4
DeepSeek V3.2,T5,0.8977,98.73,66.67,32.07,79,9
DeepSeek V3.2,T6,0.8750,79.37,66.67,12.70,63,9
GLM-5,T1,0.9388,98.91,83.33,15.58,92,6
GLM-5,T2,0.9556,100.00,100.00,0.00,86,4
GLM-5,T3,0.9569,99.10,40.00,59.10,111,5
GLM-5,T4,0.9333,98.21,100.00,-1.79,56,4
GLM-5,T5,0.9886,100.00,100.00,0.00,87,1
GLM-5,T6,0.8611,100.00,100.00,0.00,62,10
GPT-5.4,T1,0.9286,80.22,71.43,8.79,91,7
GPT-5.4,T2,0.9111,90.24,62.50,27.74,82,8
GPT-5.4,T3,0.9569,83.78,20.00,63.78,111,5
GPT-5.4,T4,0.9500,89.47,66.67,22.81,57,3
GPT-5.4,T5,0.9432,96.39,80.00,16.39,83,5
GPT-5.4,T6,0.8333,90.00,83.33,6.67,60,12
GPT-5.4 mini,T1,0.8673,88.24,76.92,11.31,85,13
GPT-5.4 mini,T2,0.8667,80.77,58.33,22.44,78,12
GPT-5.4 mini,T3,0.9138,74.53,40.00,34.53,106,10
GPT-5.4 mini,T4,0.9667,96.55,50.00,46.55,58,2
GPT-5.4 mini,T5,0.8636,100.00,100.00,0.00,76,12
GPT-5.4 mini,T6,0.8333,90.00,83.33,6.67,60,12
GPT-5.4 nano,T1,0.7143,54.29,42.86,11.43,70,28
GPT-5.4 nano,T2,0.7889,80.28,63.16,17.12,71,19
GPT-5.4 nano,T3,0.8707,67.33,53.33,13.99,101,15
GPT-5.4 nano,T4,0.9000,72.22,83.33,-11.11,54,6
GPT-5.4 nano,T5,0.7841,36.23,42.11,-5.87,69,19
GPT-5.4 nano,T6,0.7222,69.23,35.00,34.23,52,20
Gemini 2.5 Flash,T1,0.9184,98.89,75.00,23.89,90,8
Gemini 2.5 Flash,T2,0.9556,100.00,100.00,0.00,86,4
Gemini 2.5 Flash,T3,0.9397,100.00,85.71,14.29,109,7
Gemini 2.5 Flash,T4,0.9667,100.00,100.00,0.00,58,2
Gemini 2.5 Flash,T5,0.9886,100.00,100.00,0.00,87,1
Gemini 2.5 Flash,T6,0.8611,96.77,100.00,-3.23,62,10
Gemini 2.5 Pro,T1,0.8980,100.00,70.00,30.00,88,10
Gemini 2.5 Pro,T2,0.9222,100.00,100.00,0.00,83,7
Gemini 2.5 Pro,T3,0.9569,100.00,100.00,0.00,111,5
Gemini 2.5 Pro,T4,0.8833,100.00,100.00,0.00,53,7
Gemini 2.5 Pro,T5,0.9886,100.00,100.00,0.00,87,1
Gemini 2.5 Pro,T6,0.8750,100.00,100.00,0.00,63,9
Gemini 3 Flash,T1,0.9694,98.95,100.00,-1.05,95,3
Gemini 3 Flash,T2,0.9111,98.78,100.00,-1.22,82,8
Gemini 3 Flash,T3,0.9741,93.81,66.67,27.14,113,3
Gemini 3 Flash,T4,0.8833,94.34,85.71,8.63,53,7
Gemini 3 Flash,T5,0.9886,100.00,100.00,0.00,87,1
Gemini 3 Flash,T6,0.9444,100.00,100.00,0.00,68,4
Gemini 3.1 Pro,T1,0.9898,92.78,100.00,-7.22,97,1
Gemini 3.1 Pro,T2,0.9222,100.00,100.00,0.00,83,7
Gemini 3.1 Pro,T3,0.9483,90.91,100.00,-9.09,110,6
Gemini 3.1 Pro,T4,0.8500,100.00,88.89,11.11,51,9
Gemini 3.1 Pro,T5,0.9886,100.00,100.00,0.00,87,1
Gemini 3.1 Pro,T6,0.9167,100.00,100.00,0.00,66,6
Gemma 3 12B,T1,0.7857,62.34,28.57,33.77,77,21
Gemma 3 12B,T2,0.8111,71.23,52.94,18.29,73,17
Gemma 3 12B,T3,0.9397,77.98,71.43,6.55,109,7
Gemma 3 12B,T4,0.9167,92.73,60.00,32.73,55,5
Gemma 3 12B,T5,0.8295,53.42,40.00,13.42,73,15
Gemma 3 12B,T6,0.8611,93.55,80.00,13.55,62,10
Gemma 3 1B,T1,0.6224,77.05,72.97,4.08,61,37
Gemma 3 1B,T2,0.8111,71.23,52.94,18.29,73,17
Gemma 3 1B,T3,0.6724,87.18,76.32,10.86,78,38
Gemma 3 1B,T4,0.8000,100.00,100.00,0.00,48,12
Gemma 3 1B,T5,0.6136,9.26,14.71,-5.45,54,34
Gemma 3 1B,T6,0.0278,100.00,100.00,0.00,2,70
Gemma 3 27B,T1,0.8367,98.78,100.00,-1.22,82,16
Gemma 3 27B,T2,0.8444,88.16,71.43,16.73,76,14
Gemma 3 27B,T3,0.9224,100.00,100.00,0.00,107,9
Gemma 3 27B,T4,0.9500,100.00,66.67,33.33,57,3
Gemma 3 27B,T5,0.8409,98.65,92.86,5.79,74,14
Gemma 3 27B,T6,0.9028,100.00,100.00,0.00,65,7
Qwen 235B,T1,0.8980,85.23,60.00,25.23,88,10
Qwen 235B,T2,0.8667,88.46,66.67,21.79,78,12
Qwen 235B,T3,0.9224,98.13,44.44,53.69,107,9
Qwen 235B,T4,0.9500,87.72,66.67,21.05,57,3
Qwen 235B,T5,0.9091,93.75,100.00,-6.25,80,8
Qwen 235B,T6,0.8750,93.65,100.00,-6.35,63,9
Qwen 80B Inst,T1,0.8367,98.78,93.75,5.03,82,16
Qwen 80B Inst,T2,0.8667,88.46,58.33,30.13,78,12
Qwen 80B Inst,T3,0.9397,92.66,71.43,21.23,109,7
Qwen 80B Inst,T4,0.9500,98.25,33.33,64.91,57,3
Qwen 80B Inst,T5,0.9205,97.53,71.43,26.10,81,7
Qwen 80B Inst,T6,0.8611,98.39,100.00,-1.61,62,10
Qwen 80B Think,T1,0.8980,100.00,90.00,10.00,88,10
Qwen 80B Think,T2,0.9222,97.59,100.00,-2.41,83,7
Qwen 80B Think,T3,0.9397,100.00,100.00,0.00,109,7
Qwen 80B Think,T4,0.9500,98.25,100.00,-1.75,57,3
Qwen 80B Think,T5,1.0000,100.00,0.00,,88,0
Qwen 80B Think,T6,0.8333,98.33,100.00,-1.67,60,12
Qwen Coder 480B,T1,0.8673,72.94,61.54,11.40,85,13
Qwen Coder 480B,T2,0.8889,81.25,70.00,11.25,80,10
Qwen Coder 480B,T3,0.9483,86.36,83.33,3.03,110,6
Qwen Coder 480B,T4,0.9333,96.43,25.00,71.43,56,4
Qwen Coder 480B,T5,0.9205,87.65,28.57,59.08,81,7
Qwen Coder 480B,T6,0.8889,98.44,87.50,10.94,64,8
